type,resource_type,resource_status,recommendation,tags,expected_duration,locale,name,creator,description,thumbnail,link,online_link,registration_link,event_address,date_from,date_to
,,,,,,en,Oh Baby: 14 Devotions for New Parents,DaySpring,"Welcome parenthood with open arms and encouragement straight from God's Word! Oh Baby is a Bible reading plan full of devotions, prayers, and Scripture created to bring comfort, wisdom, and guidance to new parents-to-be on your journey to welcoming your little one into the world! Embrace 14 days of encouragement as you step into this new chapter as parents. Oh baby!",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F46583%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/46583-oh-baby-14-devotions-for-new-parents,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,All of You: Learning to Love God With Your Whole Self,Scott Savage,"Do you ever feel tempted to hide parts of yourself to be loved by God or other people? Ever hold back in your prayers or worship of God? Me too! In this plan, I help you understand how God knows all of you and loves all of you. Learn how He wants you to bring all of you into your relationship with Him.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F52356%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/52356-all-of-you-learning-to-love-god-with-your,,,,,
resource,reading_plan,,9,,8,,,,,,,,,,,
,,,,,,en,Holy Week,Through the Word,"Journey through Holy Week and experience Jesus' final week on earth. This day-by-day guide follows Jesus’ footsteps from Palm Sunday to Easter. Each day Kris Langham walks you through the Word with background and insight to bring the story to life. Explore this climactic moment in history for yourself, and grow together with others through the discussion questions provided for group reflection.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F2318%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/2318-death-back-again-holy-week-in-jesus-footsteps,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,The Love You Deserve: How to Value Yourself in Dating,FrontGate Media,"Do you believe you’re worthy of a love that respects and cherishes you? Too often, we settle for less than we deserve, forgetting our immense value. In this 5-day devotional, we’re sharing practical insights and biblical truths to help you build self-worth, set healthy boundaries, and pursue relationships that honor who you are in Christ. ",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F56906%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/56906-the-love-you-deserve-how-to-value-yourself,,,,,
resource,reading_plan,,9,,7,,,,,,,,,,,
,,,,,,en,Daily Nuggets of Grace Part 4 Victorious!,Freedom In Christ Ministries,"There is a war for the love of God. This all-out war makes perfect sense since loving God is the first and most important commandment. This vital ingredient, love, is how the world will know we are Christians. The Daily Nuggets of Grace is a tool to help Christians remove barriers like guilt, shame, fear, and pride while learning to abide in Christ and recover their first love for Him.  ",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F50757%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/50757-daily-nuggets-of-grace-part-4-victorious,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
